sha256,kept_image_id,kept_source_dataset,kept_source_relative_path,discarded_source_dataset,discarded_source_relative_path,discarded_source_filename
ce02b870dd036f01b69f78f7ad169358ccbac8711840ecb515323a1fd6f5fc3e,img_00001243,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0181.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0181.jpg,COLT+WOODSMAN+pistol_0181.jpg
d2090920c8803649300b83b30f239ff142f3ff211f371aa1da269ab09fa74b69,img_00001244,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0182.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0182.jpg,COLT+WOODSMAN+pistol_0182.jpg
541b14919fb07665f8ef2a37fa514ce27ea76ad0d7d2d4801df537e608176172,img_00001245,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0183.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0183.jpg,COLT+WOODSMAN+pistol_0183.jpg
0b922708606d7675424c57c6babace5b3cfe1f49c2d6894dcb9a0b1ed7837f38,img_00001246,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0185.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0185.jpg,COLT+WOODSMAN+pistol_0185.jpg
81854d6df4d4bf41dddd6495656bef6a16f5ceca521abe81a416be07f3b66aa4,img_00001247,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0195.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0195.jpg,COLT+WOODSMAN+pistol_0195.jpg
dbbf841f951cb970c7ae338622e747174f617c8a817c0e1d0c39559c1e3ddc61,img_00001248,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0197.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0197.jpg,COLT+WOODSMAN+pistol_0197.jpg
175a858b813a8387e62a0fbb846ff9edafbad5dd69f58d13e06b5707c07fb6aa,img_00001249,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0198.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0198.jpg,COLT+WOODSMAN+pistol_0198.jpg
47a78289c75c09dd6647948794a4ee68774df0000ec84315f4b46d8361254471,img_00001250,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0202.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0202.jpg,COLT+WOODSMAN+pistol_0202.jpg
63ca7fb7efda805c39d81248e1474697dc9cbb8193e43804204df3099f2331ce,img_00001251,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0205.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0205.jpg,COLT+WOODSMAN+pistol_0205.jpg
b85d13fe1eac471903d3b437b54de9e91f4853d3d1db78a94bce1b93a8b5b1f0,img_00001252,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0207.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0207.jpg,COLT+WOODSMAN+pistol_0207.jpg
