source_group,source_dataset,source_relative_path,source_filename,reason
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0284.jpg,Berdan+Sharps+Rifle_0284.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0293.jpg,Berdan+Sharps+Rifle_0293.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0044.jpg,Beretta+M9A1+pistol_0044.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0054.jpg,Beretta+M9A1+pistol_0054.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0056.jpg,Beretta+M9A1+pistol_0056.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0068.jpg,Beretta+M9A1+pistol_0068.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0072.jpg,Beretta+M9A1+pistol_0072.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0135.jpg,Beretta+M9A1+pistol_0135.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0162.jpg,Beretta+M9A1+pistol_0162.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0194.jpg,Beretta+M9A1+pistol_0194.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0202.jpg,Beretta+M9A1+pistol_0202.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0240.jpg,Beretta+M9A1+pistol_0240.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0276.jpg,Beretta+M9A1+pistol_0276.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0280.jpg,Beretta+M9A1+pistol_0280.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0289.jpg,Beretta+M9A1+pistol_0289.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0300.jpg,Beretta+M9A1+pistol_0300.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0323.jpg,Beretta+M9A1+pistol_0323.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0326.jpg,Beretta+M9A1+pistol_0326.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0329.jpg,Beretta+M9A1+pistol_0329.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0349.jpg,Beretta+M9A1+pistol_0349.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Beretta+M9A1+pistol/Beretta+M9A1+pistol_0352.jpg,Beretta+M9A1+pistol_0352.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0004.jpg,Brown+Bess+musket_0004.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0006.jpg,Brown+Bess+musket_0006.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0009.jpg,Brown+Bess+musket_0009.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0037.jpg,Brown+Bess+musket_0037.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0042.jpg,Brown+Bess+musket_0042.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0044.jpg,Brown+Bess+musket_0044.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0049.jpg,Brown+Bess+musket_0049.jpg,below_min_size
