tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
excire_foto_2025_d80,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,488,331,169,12,0.657000,0.657000,0.595849,0.976000,0.338000,0.739955,0.024000,0.662000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,492,68,432,8,0.924000,0.924000,0.878571,0.984000,0.864000,0.928302,0.016000,0.136000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,493,71,429,7,0.922000,0.922000,0.874113,0.986000,0.858000,0.926692,0.014000,0.142000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,492,84,416,8,0.908000,0.908000,0.854167,0.984000,0.832000,0.914498,0.016000,0.168000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,492,114,386,8,0.878000,0.878000,0.811881,0.984000,0.772000,0.889693,0.016000,0.228000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,492,78,422,8,0.914000,0.914000,0.863158,0.984000,0.844000,0.919626,0.016000,0.156000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,anti_forensic,resample_resize,1000,1000,1000,1000,0,492,75,425,8,0.917000,0.917000,0.867725,0.984000,0.850000,0.922212,0.016000,0.150000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,none,clean,1000,1000,1000,1000,0,493,78,422,7,0.915000,0.915000,0.863398,0.986000,0.844000,0.920635,0.014000,0.156000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,261,239,0,0.522000
excire_foto_2025_d80,sample_type_attack,clean,none,clean,1000,1000,1000,1000,0,493,78,422,7,0.915000,0.915000,0.863398,0.986000,0.844000,0.920635,0.014000,0.156000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,ood,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,261,239,0,0.522000
excire_foto_2025_d80,sample_type_attack,perturbed,adversarial,color_shift,1000,1000,1000,1000,0,494,80,420,6,0.914000,0.914000,0.860627,0.988000,0.840000,0.919926,0.012000,0.160000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,adversarial,fgsm,1000,1000,1000,1000,0,477,79,421,23,0.898000,0.898000,0.857914,0.954000,0.842000,0.903409,0.046000,0.158000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,adversarial,one_pixel,1000,1000,1000,1000,0,492,81,419,8,0.911000,0.911000,0.858639,0.984000,0.838000,0.917055,0.016000,0.162000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,adversarial,sigma_zero,1000,1000,1000,1000,0,488,331,169,12,0.657000,0.657000,0.595849,0.976000,0.338000,0.739955,0.024000,0.662000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,adversarial,superdeepfool,1000,1000,1000,1000,0,492,68,432,8,0.924000,0.924000,0.878571,0.984000,0.864000,0.928302,0.016000,0.136000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,493,71,429,7,0.922000,0.922000,0.874113,0.986000,0.858000,0.926692,0.014000,0.142000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,492,84,416,8,0.908000,0.908000,0.854167,0.984000,0.832000,0.914498,0.016000,0.168000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,492,114,386,8,0.878000,0.878000,0.811881,0.984000,0.772000,0.889693,0.016000,0.228000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,492,78,422,8,0.914000,0.914000,0.863158,0.984000,0.844000,0.919626,0.016000,0.156000,0,0,0,0,
excire_foto_2025_d80,sample_type_attack,perturbed,anti_forensic,resample_resize,1000,1000,1000,1000,0,492,75,425,8,0.917000,0.917000,0.867725,0.984000,0.850000,0.922212,0.016000,0.150000,0,0,0,0,
